"행정구역별(읍면동)","연령별","항목","단위","2021 년",
"동대문구","80~84세","총인구(명)","","8005",
"동대문구","80~84세","총인구_남자(명)","","3311",
"동대문구","80~84세","총인구_여자(명)","","4694",
"동대문구","85~89세","총인구(명)","","3682",
"동대문구","85~89세","총인구_남자(명)","","1321",
"동대문구","85~89세","총인구_여자(명)","","2361",
"동대문구","90~94세","총인구(명)","","1049",
"동대문구","90~94세","총인구_남자(명)","","293",
"동대문구","90~94세","총인구_여자(명)","","756",
"동대문구","95~99세","총인구(명)","","225",
"동대문구","95~99세","총인구_남자(명)","","54",
"동대문구","95~99세","총인구_여자(명)","","171",
"동대문구","100세이상","총인구(명)","","45",
"동대문구","100세이상","총인구_남자(명)","","11",
"동대문구","100세이상","총인구_여자(명)","","34",
"동대문구","15세미만","총인구(명)","","29854",
"동대문구","15세미만","총인구_남자(명)","","15315",
"동대문구","15세미만","총인구_여자(명)","","14539",
"동대문구","15~64세","총인구(명)","","257734",
"동대문구","15~64세","총인구_남자(명)","","127197",
"동대문구","15~64세","총인구_여자(명)","","130537",
"동대문구","65세이상","총인구(명)","","60613",
"동대문구","65세이상","총인구_남자(명)","","26897",
"동대문구","65세이상","총인구_여자(명)","","33716",
"동대문구","85세이상","총인구(명)","","5001",
